Bo'lim,Kichik bo'lim,Mazmun
Umumiy,Kirish,"DIYDOR
Qalblar uchrashadigan joy
TANISHUV VA ALOQA ILOVASI
To'liq mahsulot, dizayn, monetizatsiya va biznes strategiyasi hujjati
Tayyorlandi: INNASOFT MChJ uchun
Buyurtmachi: Muzaffar, Asoschi / CEO
Hujjat sanasi: 2026-yil iyun
Mazmuni"
0. Qisqacha xulosa,,"Diydor — bu O'zbekiston va MDH bozori uchun moslashtirilgan, yigit va qizlarning tanishuvi, do'stlashishi va o'z baxtini topishiga xizmat qiladigan mobil ilova. Mahsulotning markaziy g'oyasi ikkita ustunga tayanadi: birinchidan, Tinder, Bumble va Hinge kabi global liderlarning isbotlangan ishlash mexanizmlari (swipe, mos kelish, suhbat); ikkinchidan, ikki tomon roziligiga asoslangan, real pulga aylanuvchi sovg'a iqtisodiyoti (gifting economy), bu esa foydalanuvchilarni majburlashsiz, lekin tabiiy ravishda pul sarflashga undaydi.
Daromad ikki asosiy manbadan keladi: oylik/haftalik obuna to'lovlari (Plus, Gold, Platinum darajalari) va ilova ichidagi tanga (coin) tizimi orqali xarid qilinadigan sovg'alar, bunda qizlar olgan sovg'aning bir qismini real pulga aylantirib, hamyoniga (Payme/Click) yechib olish imkoniga ega bo'ladi, qolgan ulush esa platformaga tushadi. Bu model TikTok, Instagram va Bigo Live kabi platformalardagi tasdiqlangan ""virtual sovg'a — raqamli valyuta — pul yechish"" mexanizmining tanishuv sohasiga moslashtirilgan ko'rinishidir.
Hujjat quyidagi 14 bo'limdan iborat: bozor tahlili, g'oyaning realligi, auditoriya, mahsulot funksiyalari, monetizatsiya, xavfsizlik va rozilik tizimi, dizayn tizimi (Apple darajasidagi yumshoqlik va rang palitralari), texnik arxitektura, sotuv strategiyasi, moliyaviy model, xavflar, yo'l xaritasi va qo'shimcha takliflar."
1. Bozor tahlili va raqobatchilar,,"Tanishuv ilovalari bozori dunyo bo'yicha yetilgan, lekin O'zbekiston va Markaziy Osiyo uchun hali to'liq mahalliylashtirilmagan segment hisoblanadi. Global o'yinchilarning ishlash mantiqini o'rganish Diydor uchun qaysi mexanizmlarni olish, qaysilarini mahalliy madaniyatga moslab o'zgartirish kerakligini ko'rsatadi."
1. Bozor tahlili va raqobatchilar,1.1. Global liderlar,"Ilova
Asosiy fokus
Pul ishlash modeli
Diydor uchun saboq
Tinder
Tezkor tanishish, katta hajm
Bepul + Plus/Gold/Platinum obuna, Super Like, Boost
Swipe mexanizmi sodda va tezkor bo'lishi kerak; pullik darajalar ko'rinishni oshiradi
Bumble
Ayollar birinchi qadam tashlaydi, xavfsizlik
Boost va Premium obuna, ichki tanga (coins)
Ayol foydalanuvchiga nazorat berish ishonchni oshiradi va to'lovga undaydi
Hinge
Jiddiy munosabat, chuqur profil
Hinge+ va yuqori ""X"" darajasi obunasi
Savol-javob (prompt) profillar sifatli suhbatni boshlaydi
Badoo / Mamba
MDH bozori, VIP maqom
VIP obuna, tanga orqali xizmatlar, sovg'alar
MDH foydalanuvchisi mikro-to'lovlarga (tanga, sovg'a) ko'nikkan
Tahlilchilarning ma'lumotlariga ko'ra, obuna to'lovlari hamon dating-ilovalar daromadining yarmidan ko'pini tashkil etadi, biroq Boost, Super Like va virtual sovg'a kabi bir martalik xaridlar (consumables) tobora katta ulushni egallab bormoqda — chunki ular foydalanuvchidan katta majburiyat talab qilmaydi, lekin doimiy mikro-to'lovlarni yaratadi. Aynan shu ikkinchi yo'nalish — tanga va sovg'a iqtisodiyoti — Diydor uchun markaziy farqlovchi elementga aylanishi mumkin."
1. Bozor tahlili va raqobatchilar,1.2. Mahalliy kontekst,"O'zbekiston bozorida 2021-yildan beri faoliyat yuritayotgan mahalliy tanishuv ilovasi mavjud (quyida 1.3-bandda batafsil ko'rib chiqiladi) — bu mahalliy bozorda raqamli tanishuvga jamiyat tomonidan talab va tayyorlik mavjudligini tasdiqlaydi. Shu bilan birga, mavjud o'yinchining zaif tomonlari (eskirgan monetizatsiya, past foydalanuvchi ishonchi, lokalizatsiya yetishmovchiligi) Diydor uchun aniq bo'sh joy va ustunlik imkoniyatini ko'rsatadi.
Payme va Click kabi mahalliy to'lov tizimlarining keng tarqalganligi, shuningdek aholi orasida TikTok/Instagram orqali ""sovg'a yuborish"" madaniyatining shakllanib borayotgani — Diydor'ning tanga va sovg'a iqtisodiyotini joriy etishi uchun qulay zamin yaratadi. Foydalanuvchilar allaqachon raqamli sovg'a yuborish g'oyasiga boshqa platformalar orqali ko'nikib bormoqda."
1. Bozor tahlili va raqobatchilar,1.3. Asosiy mahalliy raqobatchi: Olove,"Olove — O'zbekistonda 2021-yildan beri ishlayotgan, o'zini mamlakatdagi birinchi nikoh va tanishuv ilovasi sifatida tanitgan mahsulot. Kompaniya (Olove Ltd) rasman Buyuk Britaniyada ro'yxatdan o'tgan, lekin mahsulot to'liq O'zbekiston bozoriga qaratilgan va ingliz, rus, o'zbek tillarini qo'llab-quvvatlaydi. Monetizatsiyasi faqat klassik obuna darajalaridan iborat (dollarda narxlangan: Light, Premium va VIP darajalari, eng yuqorisi oyiga taxminan 85 dollar atrofida), hech qanday sovg'a yoki tanga iqtisodiyoti mavjud emas. Erkaklarga atigi 3 kunlik bepul sinov muddati beriladi, ayollar uchun esa shartlar boshqacha — ya'ni asosiy to'lov yuki erkaklar zimmasiga tushadi, lekin ayolga sovg'adan daromad olish imkoni yo'q. Ilova reytingi hozirda 2.7 (5 balldan), bu foydalanuvchi ishonchi va sifat borasida jiddiy muammolarni ko'rsatadi. So'nggi yangilanishlar asosan mayda xato tuzatishlari darajasida, yirik funksional innovatsiya kuzatilmaydi. Mustaqil bozor reytinglarida (Similarweb) O'zbekiston Google Play tanishuv toifasida TOP-3 LovePlanet, PURE va Tinder tomonidan band qilingan — Olove bu reytingda qatnashmaydi, demak ""birinchi bo'lish"" ustunligini saqlab qololmagan.
Mezon
Olove
Diydor
Pozitsiya
Faqat nikoh/jiddiy munosabat
Tanishish + do'stlik + jiddiy munosabat
Daromad modeli
Faqat obuna (dollarda)
Obuna + sovg'a/tanga iqtisodiyoti (so'mda)
Ayol uchun daromad
Yo'q
Bor — sovg'adan pul yechib olish imkoni
To'lov tizimi
Lokal integratsiya signali yo'q
Payme / Click / Uzcard — to'liq mahalliy
Foydalanuvchi reytingi
2.7 / 5, shikoyatlar ko'p
Boshidan moderatsiya va rozilik tizimi bilan rejalashtirilgan
Dizayn / UX
Eski, mayda tuzatishlar darajasida
Apple darajasidagi zamonaviy, silliq tajriba
Bozordagi o'rni
TOP-3 reytingda yo'q
Yangi, lekin bo'sh joyni egallash imkoni katta
Xulosa: Olove zaif raqib hisoblanadi — birinchi bo'lish afzalligini saqlab qololmagan, monetizatsiyasi bir o'lchovli, foydalanuvchi ishonchi past. Diydor aynan shu bo'shliqlarni — sovg'a iqtisodiyoti, lokal to'lov, yuqori sifatli UX va kengroq pozitsiya orqali — to'ldirishga qaratilgan."
2. G'oyaning realligi va bozor validatsiyasi,2.1. Nega aynan hozir?,"Smartfon va mobil internet qamrovi O'zbekistonda yuqori sur'atlar bilan o'sib bormoqda, yoshlar orasida ijtimoiy tarmoqlardan foydalanish odat tusiga kirgan.
Mahalliy to'lov infratuzilmasi (Payme, Click, Uzcard, Humo) yetarlicha yetilgan — bu mikro-to'lovlar va pul yechib olish jarayonini texnik jihatdan oson amalga oshirish imkonini beradi.
Raqamli sovg'a yuborish (TikTok, Instagram Gifts) madaniyati allaqachon shakllangan — foydalanuvchi ""virtual sovg'a uchun pul to'lash"" g'oyasiga begona emas.
Yaqinda mahalliy tanishuv ilovasining paydo bo'lishi bozorning tayyor ekanini va talab mavjudligini ko'rsatadi, ammo bu o'yinchi faqat nikoh segmentiga qaratilgan — keng auditoriya va kuchli monetizatsiya bilan bo'sh joy mavjud."
2. G'oyaning realligi va bozor validatsiyasi,2.2. Madaniy nozikliklar va ularni boshqarish,"O'zbekiston nisbatan konservativ ijtimoiy muhitga ega bo'lgani uchun, ilovani sof ""dating/hookup"" sifatida emas, balki ""tanishish, do'stlik va hurmatga asoslangan aloqa"" platformasi sifatida joylashtirish (positioning) muhim ahamiyatga ega. Marketing tilida ""hurmat"", ""rozilik"", ""xavfsizlik"" va ""jiddiy niyat"" kabi so'zlarga urg'u berish kerak. Buning uchun ilova ichida ""Faqat do'stlik"" va ""Munosabat qidiraman"" kabi rejimlarni ajratib ko'rsatish tavsiya etiladi — bu turli auditoriya guruhlarini bir xil platformada birlashtirib, ijtimoiy qabul qilinishini oshiradi."
2. G'oyaning realligi va bozor validatsiyasi,2.3. SWOT — qisqacha,"Kuchli tomonlar
Zaif tomonlar
Ichki
Mahalliy til/madaniyat, mahalliy to'lov integratsiyasi, gift-iqtisodiyot orqali yuqori ARPU imkoniyati
Boshlang'ich foydalanuvchi bazasi yo'q, brend ishonchini qaytadan qurish kerak
Imkoniyatlar
Tahdidlar
Tashqi
Bozorda hali to'liq egallanmagan keng-auditoriya segmenti, davlat IT Park imtiyozlari, diaspora auditoriyasi
Ijtimoiy-madaniy qarshilik, App Store/Play Store-ning pullik gift/cash-out siyosatlari, soxta profillar xavfi"
3. Maqsadli auditoriya va foydalanuvchi personalari,3.1. Asosiy personalar,"Persona 1 — ""Faol Yigit"" (22–32 yosh)
Shahar muhitida yashaydigan, IT, savdo yoki xizmat sohasida ishlaydigan, jiddiy munosabat yoki yengil tanishishga ochiq yigit. E'tiborni bildirish uchun sovg'a yuborishga tayyor, status va ko'rinishni oshiruvchi (Boost, Super Like) funksiyalarga qiziqadi.
Persona 2 — ""Ishonchli Qiz"" (20–30 yosh)
Xavfsizlik va hurmatni birinchi o'ringa qo'yadigan, ijtimoiy tarmoqlarda faol qiz. Sovg'a olish orqali qo'shimcha daromad olish imkoniyatidan mamnun, ammo o'zini xavfsiz va nazorat ostida his qilishi muhim.
Persona 3 — ""Uzoqdagi Hamyurtlar""
Chet elda (Rossiya, AQSh, Koreya, BAA) yashab-ishlaydigan o'zbeklar — vatandoshlari bilan tanishish, do'stlashish yoki jiddiy munosabat qurish uchun mahalliy ilovani afzal ko'radigan segment. Diaspora uchun xalqaro to'lov usullarini qo'shish daromadni kengaytiradi."
4. Mahsulot konsepsiyasi va asosiy funksiyalar,4.1. Profil va verifikatsiya,"Telefon raqami orqali ro'yxatdan o'tish (OTP), keyin selfie orqali yuz tasdiqlash (liveness check) — bu bot va soxta hisoblarni keskin kamaytiradi.
Ixtiyoriy pasport/ID tasdiqlash — ""Tasdiqlangan profil"" nishonini beradi, bu ishonchni oshiradi va ko'rinishni yaxshilaydi.
Majburiy yosh tasdiqlash — 18 yoshdan kichik foydalanuvchilar ro'yxatdan o'ta olmaydi."
4. Mahsulot konsepsiyasi va asosiy funksiyalar,4.2. Mos kelish (matching) mexanizmi,"Asosiy o'zaro ta'sir — Tinder uslubidagi karta-svayp tizimi, unga Hinge uslubidagi qisqa savol-javoblar (""Mening orzuyim..."", ""Meni qanday hayratga solish mumkin..."") qo'shiladi — bu profilni jonlantiradi va suhbat boshlash uchun tabiiy bahona yaratadi. Foydalanuvchi ""Munosabat qidiraman"", ""Do'stlashmoqchiman"" yoki ""Hali bilmayman"" niyatini tanlaydi — bu moslik algoritmini aniqlashtiradi."
4. Mahsulot konsepsiyasi va asosiy funksiyalar,4.3. Suhbat va aloqa,"Faqat ikki tomon ""mos kelgandan"" (match) keyin yozishma ochiladi — telefon raqami avtomatik oshkor qilinmaydi.
Ilova ichida matn, ovozli xabar va video qo'ng'iroq imkoniyati — foydalanuvchini uchinchi tomon messenjerlariga chiqib ketishdan saqlaydi va xavfsizlikni ta'minlaydi.
AI-yordamida ""suhbatni boshlash"" maslahatlari (premium funksiya) — noqulay sukunatni yengillashtiradi."
4. Mahsulot konsepsiyasi va asosiy funksiyalar,4.4. Ko'rinish va e'tibor funksiyalari,"Super Like — alohida e'tiborni bildirish.
Boost — ma'lum vaqt davomida profilni ko'rinish ro'yxatining yuqorisiga chiqarish.
Incognito (ko'rinmas) rejim — faqat o'zi yoqtirgan kishilarga ko'rinish."
4. Mahsulot konsepsiyasi va asosiy funksiyalar,4.5. Xavfsizlik markazi,"Bitta tugma bilan bloklash va shikoyat qilish.
Suhbatdosh haqida ma'lumotni ishonchli kontaktga ulashish (birinchi real uchrashuv uchun).
AI orqali xabarlar va suratlarni avtomatik moderatsiya qilish (yalang'ochlik, tahqirlovchi til aniqlanadi)."
5. Monetizatsiya strategiyasi,,"Diydor uchun ikki qatlamli daromad arxitekturasi tavsiya etiladi: (1) barqaror, takrorlanuvchi obuna daromadi va (2) yuqori marjali, impulsga asoslangan tanga va sovg'a iqtisodiyoti. Sanoat tajribasi shuni ko'rsatadiki, faqat obunaga tayanish daromadni cheklaydi, faqat mikro-to'lovlarga tayanish esa barqarorlikni pasaytiradi — ikkisining kombinatsiyasi eng yuqori umumiy daromadni (ARPU) beradi."
5. Monetizatsiya strategiyasi,5.1. Obuna darajalari,"Daraja
Taxminiy narx (oylik)
Asosiy imkoniyatlar
Bepul
0 so'm
Kuniga cheklangan svayp, asosiy moslik, cheklangan xabar yuborish
Diydor Plus
39 000 – 59 000 so'm
Cheksiz svayp, haftada 5 Super Like, profilni qaytarish (Rewind)
Diydor Gold
89 000 – 119 000 so'm
Plus + kim sizni yoqtirganini ko'rish, kengaytirilgan filtrlar
Diydor Platinum
149 000 – 199 000 so'm
Gold + ustuvor ko'rinish, xabarni moslikdan oldin yuborish, oyiga 1 Boost
Haftalik va oylik tarif variantlarini parallel taklif qilish tavsiya etiladi — qisqa muddatli (haftalik) tariflar to'lovga tez ko'nikish hosil qiladi, yillik tarif esa chegirma evaziga uzoq muddatli mablag' oqimini ta'minlaydi. Narxlar yosh, hudud va faollikka qarab dinamik moslashtirilishi mumkin, biroq narx siyosati shaffof bo'lishi va to'lovni bekor qilish jarayoni App Store/Play Store qoidalariga to'liq mos kelishi shart — aks holda foydalanuvchi ishonchi va ilova reytingi zarar ko'radi."
