"№","Yo'nalish","Komponent / Vazifa","Tanlangan texnologiya","Muqobil variant","Tanlov sababi","Faza","Amaliy eslatma"
"1","Frontend (MVP)","Telegram Mini App platforma","Telegram Web App SDK (telegram-web-app.js)","—","MVP TMA bo'lgani uchun majburiy; initData auth, haptic, theme, BackButton API beradi","MVP","Webview cheklovlari bor — 'Apple-tajriba' va'dasini realga moslang"
"2","Frontend (MVP)","UI framework","React + Vite + TypeScript","Vue / Svelte","Katta ekotizim, TMA SDK bilan yaxshi ishlaydi, jamoa topish oson","MVP","Bundle hajmini kichik tut (webview tez ochilishi uchun)"
"3","Frontend (MVP)","Stillar / dizayn tizimi","Tailwind CSS + CSS o'zgaruvchilar (design tokens)","Styled-components","Tez prototip, dizayn token (rang/spacing/radius) markazlashtirilgan","MVP","Variant A palitra default, Variant B = Platinum qora rejim"
"4","Frontend (MVP)","Animatsiya (spring fizika)","Framer Motion","React Spring","Spring/elastik svayp, match, sovg'a animatsiyalari uchun deklarativ va kuchli","MVP","60fps uchun GPU-transform (translate/scale) ishlat, layout-thrash dan qoch"
"5","Frontend (MVP)","Svayp kartalari","@use-gesture + Framer Motion","react-tinder-card","Drag fizikasi ustidan to'liq nazorat (rubber-band, blur orqa fon)","MVP","Karta stack faqat 2-3 ta render qilinsin (performans)"
"6","Frontend (MVP)","Sovg'a animatsiyasi","Lottie (lottie-web)","GIF / video","3D/uchuvchi sovg'a animatsiyasi yengil va silliq","MVP","Lottie fayllarni oldindan keshla (chatda kechikmasin)"
"7","Frontend (MVP)","Haptik va native his","Telegram WebApp.HapticFeedback","navigator.vibrate","Match=kuchli, tugma=yengil, sovg'a=titrash; TMA native API","MVP","Webview'da cheklangan — graceful fallback qil"
"8","Frontend (MVP)","State management","Zustand + TanStack Query","Redux Toolkit","Zustand=lokal, TanStack=server-state/kesh; soddaroq va yengil","MVP","Server-state'ni Reduxda saqlama — TanStack Query ishlat"
"9","Frontend (MVP)","Real-time (chat)","Socket.IO client","raw WebSocket","Auto-reconnect, room, fallback — chat va onlayn holat uchun","MVP","Online presence Redis bilan sinxron"
"10","Backend","Asosiy framework","NestJS (Node.js + TypeScript)","Go (Fiber) / FastAPI","Strukturali, real-time va REST uchun mos, TS frontend bilan bir til","MVP","Modullarga bo'l: auth, profile, match, chat, payment, gift"
"11","Backend","Real-time server","Socket.IO + Redis adapter","NATS / raw ws","Chat, typing, presence, push trigger; ko'p instansga Redis pub/sub","MVP","Horizontal scaling uchun Redis adapter majburiy"
"12","Backend","Asosiy ma'lumotlar bazasi","PostgreSQL","MySQL","Relyatsion (user, match, tranzaksiya), JSONB moslashuvchanlik","MVP","Migratsiya: Prisma yoki TypeORM. Tranzaksiya = ACID majburiy (pul)"
"13","Backend","Kesh / real-time holat","Redis","Memcached","Sessiya, presence, rate-limit, svayp queue, pub/sub","MVP","Svayp limiti va Boost vaqti Redis TTL bilan"
"14","Backend","Fayl/rasm saqlash","S3-mos object storage (MinIO mahalliy / yoki UZ bulut)","Local disk","Rasm/ovoz/video; CDN bilan tez yetkazish","MVP","UZ qonuni: shaxsiy ma'lumot mahalliy serverda — buni boshidan rejalashtir"
"15","Backend","Autentifikatsiya","Telegram initData (HMAC) + JWT","OAuth","TMA uchun native; hash tekshiruv majburiy","MVP","initData hash tekshirilmasa spoofing — xavfsizlik kritik"
"16","To'lov","Tanga sotib olish / obuna","Payme + Click + Uzcard/Humo (litsenziyali PSP orqali)","Stripe (diaspora V2)","Mahalliy to'lov; tanga=qaytarilmaydigan ichki kredit (e-pul emas)","MVP","TMA'da digital goods Telegram Stars majburlashi mumkin — siyosatni tekshir"
"17","To'lov","Pul yechish (payout)","Litsenziyali PSP payout API (Payme/Click)","O'z e-hamyon (TAVSIYA ETILMAYDI)","O'zingiz e-pul = MB litsenziyasi+AML. PSP merchant modeli xavfni oladi","V2","KYC + limit + AML shubhali faollik tekshiruvi shart"
"18","To'lov","Real sovg'a (MVP daromad)","Hamkor gulchi/kafe API yoki manual + komissiya","—","E-pul/AML/Apple muammosisiz qiymat o'tkazish","MVP","Bu eng xavfsiz monetizatsiya — birinchi shuni ishga tushir"
"19","AI / Verifikatsiya","Selfie liveness (anti-spoofing)","Python + MediaPipe FaceMesh + Silent-Face-Anti-Spoofing","AWS Rekognition Face Liveness","Jonli odam vs rasm-rasmi; open-source bepul; mahalliy ishlaydi","MVP","Bulut muqobili tez lekin pullik; MVP open-source yetarli"
"20","AI / Verifikatsiya","Face matching (selfie<->avatar)","Python + DeepFace (ArcFace)","face_recognition (dlib)","Cosine masofa bilan bir odammi tekshirish; yuqori aniqlik","MVP","Servis: FastAPI /verify -> {liveness, match_score, verified}"
"21","AI / Verifikatsiya","Kontent moderatsiya (rasm)","NSFW detektor (NudeNet / open-nsfw)","Google Vision SafeSearch","Yuklangan rasmda yalang'ochlik/nomaqbul kontent aniqlash","MVP","Avto-flag -> inson moderatorga; false-positive balansi"
"22","AI / Verifikatsiya","Kontent moderatsiya (matn)","Til modeli klassifikatori (tahqir/tahdid/kontakt)","Perspective API","Chatda real-time tahqir/tahdid; o'zbek/rus tili qo'llab-quvvatlash","MVP","O'zbek tili uchun fine-tune kerak bo'lishi mumkin"
"23","AI / Matching","Tavsiya/matching algoritm","Rule-based (niyat+jins+yosh+joylashuv+Trust) -> keyin ML","Sof ML boshdanoq","MVP'da oddiy qoida yetarli; data yig'ilgach ML re-rank","MVP -> V2","Cold-start'da murakkab ML ishlamaydi — qoidadan boshla"
"24","Infratuzilma","Joylashuv (hosting)","UZ mahalliy data-markaz / sertifikatlangan bulut","Xorijiy bulut","UZ shaxsiy ma'lumot qonuni mahalliy saqlashni talab qiladi","MVP","Arxitektura bosqichida hal qil — keyin ko'chirish qimmat va xavfli"
"25","Infratuzilma","Konteynerlashtirish / deploy","Docker + Docker Compose (MVP), keyin Kubernetes","Bare-metal","Takrorlanuvchi muhit; oson ko'chirish","MVP -> V2","CI/CD: GitHub Actions"
"26","Infratuzilma","Monitoring / loglar","Grafana + Prometheus + Sentry","ELK","Xato kuzatuv (Sentry), metrika, uptime","MVP","To'lov va verifikatsiya xatolarini alohida kuzat"
"27","Analitika","Mahsulot analitikasi","PostHog (self-hosted)","Amplitude / Mixpanel","Funnel, retention, A/B; mahalliy saqlash mumkin","MVP","Onboarding drop-off va free->paid funnel'ni boshidan kuzat"
"28","Native app (V2)","Cross-platform framework","Flutter","React Native","Bitta koddan iOS+Android; native his, 60fps, App Store/Play","V2","TMA dan keyin — to'liq Apple-tajriba shu yerda"
"29","Native app (V2)","Push (native)","Firebase Cloud Messaging","OneSignal","iOS/Android push; chat va match bildirishnoma","V2","APNs sertifikat va Play setup kerak"
"30","Native app (V2)","Diaspora to'lovi","Stripe / xalqaro karta","PayPal","Chet eldagi o'zbeklar uchun obuna/tanga","V2","Diaspora segmenti daromadni kengaytiradi"
"31","Dizayn (metod)","Dizayn tizimi va Figma","Figma + Design Tokens (rang/spacing/radius/typography)","Sketch","Komponent kutubxonasi, dev-handoff, A/B palitra sinovi","MVP","Token Tailwind config'ga 1:1 ko'chsin (dizayn-kod birligi)"
"32","Dizayn (metod)","Glassmorphism","backdrop-filter: blur(20px) + yarim-shaffof qatlam","Sof rang panellar","Premium 'muzlagan oyna' his; menyu/popup orqa fonni xiralashtirish","MVP","Eski qurilmalarda performansni sina (blur og'ir)"
"33","Dizayn (metod)","Tipografiya","SF Pro (iOS) / Inter (Android+web)","Google Sans","Sarlavha katta-qalin, matn yengil-keng oraliqli; skrollda qisqaradi","MVP","TMA'da SF Pro avtomatik kelmaydi — Inter fallback yukla"
"34","Dizayn (metod)","Qora rejim (Dark Mode)","#1C1C1E quyuq fon + neon pushti aksent","Sof qora","Ko'zni charchatmaydi, premium; Variant B = Platinum","MVP","Telegram theme bilan sinxron (light/dark avto)"
"35","Dizayn (metod)","Onboarding metodikasi","3 qadamdan oshmaydigan progress + ilhomli mikromatn","Uzun forma","Drop-off kamaytirish; har qadam bitta harakat","MVP","Verifikatsiya (selfie) drop-off nuqtasi — qisqa va aniq qil"
"36","Dizayn (metod)","Mikro-interaksiya va haptik","Spring animatsiya + haptik teskari aloqa har bir kalit harakatda","Statik UI","Interfeysni 'tirik organizm'dek his qilishi (match, sovg'a, svayp)","MVP","Faqat kalit lahzalarda — haddan ortiq haptik bezovta qiladi"
"37","Dizayn (metod)","Erishimlilik (accessibility)","Kontrast (WCAG AA), katta bosish zonasi (44px), VoiceOver","—","Keng auditoriya, App Store talablari","MVP","Rang palitralarini kontrast bo'yicha tekshir (ayniqsa pushti matn)"
